:1016920:2024:Bridge Replacement:15:100:SPC_10:1036855.00:319.031537210254:0:189.512708891321:1463:1::1:0:1:DECK_DURATION_N	1
WS_SEEDED	9.99
SUP_SEEDED	9.99
SUB_SEEDED	9.99
DECK_SEEDED	9.99
AGE	1
SUB_DURATION_N	1
SUP_DURATION_N	1
:1118:0
:1019806:2024:Deck Replacement:10:50:SPC_12:2373614.00:166.249006606606:0:6342.51930132679:1462:1::2:0:2:DECK_DURATION_N	1
WS_SEEDED	9.99
SUP_SEEDED	Ceiling([SUP_SEEDED])-0.01
SUB_SEEDED	(Ceiling([SUB_SEEDED])-0.01)+1
DECK_SEEDED	9.99
AGE	+1
SUB_DURATION_N	+1
SUP_DURATION_N	+1
:8190:0
:1011574:2024:Deck Replacement:10:50:Mercer:3009766.00:173.151792514486:0:4825.02707199358:1462:1::3:0:2:DECK_DURATION_N	1
WS_SEEDED	9.99
SUP_SEEDED	+1
SUB_SEEDED	+1
DECK_SEEDED	9.99
AGE	+1
SUB_DURATION_N	+1
SUP_DURATION_N	+1
:10385:0
:1002251:2024:Superstructure Rep/Rehab:10:50:Northwest_1:1029435.00:263.287145531803:0:772.800429564949:1465:1::4:0:1:DECK_DURATION_N	1
WS_SEEDED	9.99
SUP_SEEDED	9.99
SUB_SEEDED	Ceiling([SUB_SEEDED])-0.01
DECK_SEEDED	9.99
AGE	+1
SUB_DURATION_N	+1
SUP_DURATION_N	1
:1776:0
:1019188:2024:Deck Replacement:10:50:Wayne_County:2973538.00:201.915523484473:0:4742.44643642639:1462:1::5:0:2::20520:0
:1012560:2024:Substructure Rehab:10:20:DVRPC:1727318.00:81.4414829249744:0:923993.151287155:1466:2::6:0:2:DECK_DURATION_N	+1
SUP_SEEDED	Ceiling([SUP_SEEDED])-0.01
SUB_SEEDED	+2
DECK_SEEDED	Ceiling([DECK_SEEDED])-0.01
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:113985:0
:1012540:2024:Substructure Rehab:10:20:DVRPC:726864.90:86.8035799603845:0:852050.399678623:1466:2::7:0:1:DECK_DURATION_N	+1
SUP_SEEDED	Ceiling([SUP_SEEDED])-0.01
SUB_SEEDED	+2
DECK_SEEDED	Ceiling([DECK_SEEDED])-0.01
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:44831:0
:1021408:2024:Substructure Rehab:10:20:DVRPC:1058417.00:79.6170332940323:0:287498.445147838:1466:2::8:0:1:DECK_DURATION_N	+1
SUP_SEEDED	Ceiling([SUP_SEEDED])-0.01
SUB_SEEDED	+2
DECK_SEEDED	+1
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:54324:0
:1012607:2024:Substructure Rehab:10:20:DVRPC:243447.60:107.735493498357:0:239682.927128208:1466:2::9:0:1:DECK_DURATION_N	+1
SUP_SEEDED	+1
SUB_SEEDED	+2
DECK_SEEDED	Ceiling([DECK_SEEDED])-0.01
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:15225:0
:1030892:2024:Substructure Rehab:10:20:DVRPC:332711.70:87.5859433239865:0:239149.485788361:1466:2::10:0:2:DECK_DURATION_N	+1
SUP_SEEDED	+1
SUB_SEEDED	+2
DECK_SEEDED	+1
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:23391:0
:1003632:2024:Substructure Rehab:10:20:DVRPC:130998.00:88.5729774193683:0:165693.9978175:1466:2::11:0:1:DECK_DURATION_N	+1
SUP_SEEDED	+1
SUB_SEEDED	+2
DECK_SEEDED	+1
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:6837:0
:1021444:2024:Deck Replacement:10:50:DVRPC:14535860.00:214.384191467757:0:142658.967540751:1462:2::12:0:2::151985:0
:1003490:2024:Painting (Joint/Spot/Zone):5:15:DVRPC:1340121.00:21.9679358558558:0:113502.832583243:1472:2::13:0:1:DECK_DURATION_N	+1
SUP_SEEDED	+1
AGE	+1
SUB_DURATION_N	+1
SUP_DURATION_N	1
:57800:0
:1031613:2024:Substructure Rehab:10:20:DVRPC:2667490.00:113.131271113179:0:104137.335059681:1466:2::14:0:2:DECK_DURATION_N	+1
SUP_SEEDED	Ceiling([SUP_SEEDED])-0.01
SUB_SEEDED	+2
DECK_SEEDED	+1
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:57525:0
:1021445:2024:Deck Replacement:10:50:DVRPC:10510660.00:127.673689784037:0:101141.564962637:1462:2::15:0:2::109898:0
:1021411:2024:Painting (Joint/Spot/Zone):5:15:DVRPC:2684578.00:21.9679358558558:0:87407.2314197513:1472:2::16:0:1:DECK_DURATION_N	+1
SUP_SEEDED	+1
AGE	+1
SUB_DURATION_N	+1
SUP_DURATION_N	1
:115787:0
:1021454:2024:Deck Replacement:10:50:DVRPC:12252070.00:130.579491079812:0:84339.7263345578:1462:2::17:0:2::128106:0
:1021852:2024:Substructure Rehab:10:20:DVRPC:865977.80:89.8622042842096:0:73009.7640740755:1466:2::18:0:2:DECK_DURATION_N	+1
SUP_SEEDED	+1
SUB_SEEDED	+2
DECK_SEEDED	Ceiling([DECK_SEEDED])-0.01
AGE	+1
SUB_DURATION_N	1
SUP_DURATION_N	+1
:39591:0
:1021441:2024:Deck Replacement:10:50:DVRPC:10714080.00:120.564671588212:0:70319.5858331678:1462:2::19:0:1::112025:0
:1021455:2024:Deck Replacement:10:50:DVRPC:4400025.00:141.165459793427:0:62144.9880339408:1462:2::20:0:1::30364:0
:1021412:2024:Deck Replacement:10:50:DVRPC:11091000.00:128.944735768068:0:58840.5776046279:1462:2::21:0:1::115966:0
